afsc,label,text_norm,evidence,source_doc,page,chunk_idx,extractor_version
14F,A,Assess the information environment to identify key elements and infrastructure,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,A,Evaluate IO objective status based on measures of effectiveness and indicators,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
21A,K,maintenance and personnel management procedures,"Manages weapons system programs, funding of depot 
maintenance workloads, and transportation distribution systems. Manages logistics tests and evaluation on new acquisition programs and 
aircraft modi",AFOCD,,2,anthropic_v0
21A,K,organizational and mission requirements,"Manages weapons system programs, funding of depot 
maintenance workloads, and transportation distribution systems. Manages logistics tests and evaluation on new acquisition programs and 
aircraft modi",AFOCD,,2,anthropic_v0
21A,K,"capabilities, limitations, and basic operating principles of aircraft systems and components","Manages weapons system programs, funding of depot 
maintenance workloads, and transportation distribution systems. Manages logistics tests and evaluation on new acquisition programs and 
aircraft modi",AFOCD,,2,anthropic_v0
21A,K,theory of flight and airframe construction,"Manages weapons system programs, funding of depot 
maintenance workloads, and transportation distribution systems. Manages logistics tests and evaluation on new acquisition programs and 
aircraft modi",AFOCD,,2,anthropic_v0
21A,K,life cycle sustainment,"Manages weapons system programs, funding of depot 
maintenance workloads, and transportation distribution systems. Manages logistics tests and evaluation on new acquisition programs and 
aircraft modi",AFOCD,,2,anthropic_v0
21A,K,quality assurance,"Manages weapons system programs, funding of depot 
maintenance workloads, and transportation distribution systems. Manages logistics tests and evaluation on new acquisition programs and 
aircraft modi",AFOCD,,2,anthropic_v0
21A,K,"supply, transportation, logistics plans, contracting, flying operations, munitions, and other unit operations related to aircraft maintenance units","Manages weapons system programs, funding of depot 
maintenance workloads, and transportation distribution systems. Manages logistics tests and evaluation on new acquisition programs and 
aircraft modi",AFOCD,,2,anthropic_v0
21A,S,managing weapons system programs,"Manages weapons system programs, funding of depot 
maintenance workloads, and transportation distribution systems. Manages logistics tests and evaluation on new acquisition programs and 
aircraft modi",AFOCD,,2,anthropic_v0
21A,S,funding of depot maintenance workloads,"Manages weapons system programs, funding of depot 
maintenance workloads, and transportation distribution systems. Manages logistics tests and evaluation on new acquisition programs and 
aircraft modi",AFOCD,,2,anthropic_v0
21A,S,managing transportation distribution systems,"Manages weapons system programs, funding of depot 
maintenance workloads, and transportation distribution systems. Manages logistics tests and evaluation on new acquisition programs and 
aircraft modi",AFOCD,,2,anthropic_v0
21A,S,managing logistics tests and evaluation on new acquisition programs and aircraft modifications,"Manages weapons system programs, funding of depot 
maintenance workloads, and transportation distribution systems. Manages logistics tests and evaluation on new acquisition programs and 
aircraft modi",AFOCD,,2,anthropic_v0
21A,A,capacity to manage aircraft maintenance activities,"Manages weapons system programs, funding of depot 
maintenance workloads, and transportation distribution systems. Manages logistics tests and evaluation on new acquisition programs and 
aircraft modi",AFOCD,,2,anthropic_v0
21M,K,Maintenance management procedures,"Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,K,Organizational and mission requirements,"Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,K,"Capabilities, limitations, and basic weapons","Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,K,Weapons procedures and quality assurance,"Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,K,"Supply, transportation, civil engineer, and other unit operations related to munitions, missile, or aircraft maintenance units","Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,K,Conventional air-to-air missiles,"Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,K,"Air-to-ground weapons including guided, rocket-boosted, and unguided munitions","Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,K,Dispensers and submunitions,"Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,K,Suspension and release equipment,"Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,K,Wiring harnesses,"Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,K,Loading procedures,"Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,K,Safety tests,"Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,K,Munitions (ground) handling equipment,"Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,K,Production control and maintenance data collection procedures,"Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,K,Lateral logistics functions related to munitions maintenance,"Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,S,"Developing flight procedures, mission checklists, and mission flight rules","Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,S,"Writing munitions, nuclear weapon, and missile maintenance annexes to logistics plans","Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,S,Monitoring and evaluating contracted logistics and maintenance support activities,"Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,S,"Developing procedures for storing, assembling, delivering, inventory management, and testing conventional munitions, nuclear weapons, and missiles","Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,S,"Developing procedures for, and managing, routine disposal of common US munitions","Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,S,Developing munitions accountability programs,"Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,A,"Represent logistics in development of flight procedures, mission checklists, and mission flight rules","Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,A,Provide weapon system data for operational and logistics support analysis,"Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
21M,A,"Understand and manage all aspects of the Air Force munitions accountability system, including systems and procedures for financial accountability and auditability of assets","Represents logistics in development of flight procedures, mission checklists, and mission flight rules. 2.8. Writes munitions, nuclear weapon, and missile maintenance annexes to logistics plans. Provi",AFOCD,,2,anthropic_v0
